Date,County,TotalBeds,AvailableBeds,HospitalCapacity,Hospitalized,ICU,Ventilated,AdmitPrevDay,DischPrevDay,DeltaAdmit
2020-04-18,MIAMI-DADE,9455,3561,0.37662612374405074,697,219,170,93,138,-45
2020-04-18,PALM BEACH,4332,1862,0.4298245614035088,237,89,54,61,33,28
2020-04-19,BROWARD,6816,2053,0.3012030516431925,378,127,100,53,43,10
2020-04-19,MIAMI-DADE,9455,3507,0.3709148598625066,730,223,170,71,105,-34
2020-04-19,PALM BEACH,4332,1800,0.4155124653739612,238,94,62,55,25,30
2020-04-20,BROWARD,6816,2029,0.2976819248826291,371,123,105,60,39,21
2020-04-20,MIAMI-DADE,9455,3410,0.36065573770491804,727,210,167,58,64,-6
2020-04-20,PALM BEACH,4332,1842,0.425207756232687,245,91,56,46,25,21
2020-04-21,BROWARD,6816,2082,0.30545774647887325,330,107,88,90,66,24
2020-04-21,MIAMI-DADE,9455,3468,0.36679005817028026,759,205,155,92,81,11
2020-04-21,PALM BEACH,4332,2128,0.49122807017543857,236,86,47,41,40,1
2020-04-22,BROWARD,6816,2069,0.30355046948356806,360,116,97,62,57,5
2020-04-22,MIAMI-DADE,9455,3260,0.3447911158117398,743,196,148,72,88,-16
2020-04-22,PALM BEACH,4332,1765,0.4074330563250231,232,88,52,46,35,11
2020-04-22,BROWARD,6816,2079,0.3050176056338028,356,117,95,52,40,12
2020-04-22,MIAMI-DADE,9455,3410,0.36065573770491804,722,194,139,71,121,-50
2020-04-22,PALM BEACH,4332,1783,0.4115881809787627,226,84,52,47,31,16
2020-04-23,BROWARD,6816,2099,0.3079518779342723,364,119,82,47,33,14
2020-04-23,MIAMI-DADE,9455,3378,0.35727128503437333,706,186,129,91,62,29
2020-04-23,PALM BEACH,4332,1762,0.4067405355493998,232,85,50,42,34,8
2020-04-23,BROWARD,6816,2044,0.29988262910798125,363,121,84,38,40,-2
2020-04-23,MIAMI-DADE,9455,3541,0.37451084082496033,728,192,139,82,65,17
2020-04-23,PALM BEACH,4332,1963,0.4531394275161588,229,84,49,38,30,8
2020-04-24,BROWARD,6816,1680,0.24647887323943662,372,117,102,46,38,8
2020-04-24,MIAMI-DADE,9455,3193,0.3377049180327869,694,173,125,86,66,20
2020-04-24,PALM BEACH,4332,1832,0.4228993536472761,223,73,50,40,32,8
2020-04-25,BROWARD,6816,1671,0.24515845070422534,347,116,103,67,57,10
2020-04-25,MIAMI-DADE,9455,3383,0.35780010576414595,699,182,133,85,50,35
2020-04-25,PALM BEACH,4332,1820,0.420129270544783,223,73,43,39,23,16
2020-04-25,BROWARD,6816,1679,0.24633215962441316,343,112,85,77,65,12
2020-04-25,MIAMI-DADE,9455,3288,0.3477525118984664,705,178,133,84,51,33
2020-04-25,PALM BEACH,4332,1774,0.40951061865189287,221,71,43,38,25,13
2020-04-26,BROWARD,6816,1689,0.24779929577464788,341,110,84,74,50,24
2020-04-26,MIAMI-DADE,9455,3231,0.3417239555790587,752,176,115,95,34,61
2020-04-26,PALM BEACH,4332,1777,0.4102031394275162,209,65,40,50,24,26
2020-04-26,BROWARD,6816,1675,0.24574530516431925,343,113,84,63,48,15
2020-04-26,MIAMI-DADE,9455,3250,0.3437334743521946,747,177,116,79,32,47
2020-04-26,PALM BEACH,4332,1761,0.40650969529085873,213,68,41,45,18,27
2020-04-27,BROWARD,6816,1825,0.2677523474178404,335,105,82,35,39,-4
2020-04-27,MIAMI-DADE,9455,3266,0.345425700687467,728,163,114,52,23,29
2020-04-27,PALM BEACH,4332,1771,0.4088180978762696,222,67,43,26,22,4
2020-04-27,BROWARD,6816,1836,0.26936619718309857,336,107,80,35,40,-5
2020-04-27,MIAMI-DADE,9455,3278,0.3466948704389212,725,162,115,50,26,24
2020-04-27,PALM BEACH,4332,1793,0.4138965835641736,223,69,44,25,22,3
2020-04-28,BROWARD,6816,1740,0.25528169014084506,324,99,74,69,59,10
2020-04-28,MIAMI-DADE,9455,3045,0.3220518244315177,763,204,128,53,43,10
2020-04-28,PALM BEACH,4332,1817,0.41943674976915973,229,75,45,30,27,3
2020-04-28,BROWARD,6816,1739,0.2551349765258216,324,99,74,69,59,10
2020-04-28,MIAMI-DADE,9455,2996,0.3168693812797462,776,203,127,71,52,19
2020-04-28,PALM BEACH,4332,1815,0.41897506925207756,230,75,40,29,25,4
2020-04-29,BROWARD,6816,1772,0.25997652582159625,319,101,77,59,55,4
2020-04-29,MIAMI-DADE,9455,2927,0.3095716552088842,746,204,119,74,48,26
2020-04-29,PALM BEACH,4332,1638,0.3781163434903047,236,72,43,33,23,10
2020-04-29,BROWARD,6816,1771,0.25982981220657275,319,101,77,59,55,4
2020-04-29,MIAMI-DADE,9455,2916,0.3084082496033845,747,196,120,75,44,31
2020-04-29,PALM BEACH,4332,1634,0.37719298245614036,232,73,44,31,22,9
2020-04-30,BROWARD,6816,1755,0.2574823943661972,311,92,77,47,50,-3
2020-04-30,MIAMI-DADE,9455,3006,0.31792702273929135,735,167,108,64,61,3
2020-04-30,PALM BEACH,4332,1661,0.38342566943674977,232,73,44,41,32,9
2020-04-30,BROWARD,6816,1757,0.2577758215962441,312,93,77,47,50,-3
2020-04-30,MIAMI-DADE,9455,3001,0.3173982020095188,735,168,108,58,63,-5
2020-04-30,PALM BEACH,4332,1668,0.3850415512465374,234,74,43,45,36,9
2020-05-01,BROWARD,6816,1833,0.2689260563380282,309,91,69,65,62,3
2020-05-01,MIAMI-DADE,9455,3266,0.345425700687467,733,177,110,69,76,-7
2020-05-01,PALM BEACH,4332,1629,0.3760387811634349,235,76,44,49,32,17
2020-05-01,BROWARD,6816,1833,0.2689260563380282,310,91,69,65,62,3
2020-05-01,MIAMI-DADE,9455,3274,0.34627181385510314,724,171,110,79,77,2
2020-05-01,PALM BEACH,4332,1607,0.37096029547553094,236,77,44,43,32,11
2020-05-02,BROWARD,6816,1762,0.2585093896713615,308,91,72,55,62,-7
2020-05-02,MIAMI-DADE,9455,3230,0.3416181914331042,715,168,107,86,72,14
2020-05-02,PALM BEACH,4332,1674,0.3864265927977839,241,76,50,34,34,0
2020-05-03,BROWARD,6816,1729,0.2536678403755869,301,89,67,31,30,1
2020-05-03,MIAMI-DADE,9455,3344,0.3536753040719196,707,181,103,68,134,-66
2020-05-03,PALM BEACH,4332,1739,0.40143120960295475,246,72,47,35,18,17
2020-05-03,BROWARD,6816,1715,0.2516138497652582,305,89,69,47,40,7
2020-05-03,MIAMI-DADE,9455,3335,0.3527234267583289,697,179,102,56,132,-76
2020-05-03,PALM BEACH,4332,1735,0.4005078485687904,242,71,46,33,17,16
2020-05-04,BROWARD,6816,1720,0.25234741784037557,271,74,53,34,43,-9
2020-05-04,MIAMI-DADE,9455,3114,0.3293495505023797,702,170,105,46,29,17
2020-05-04,PALM BEACH,4332,1621,0.37419205909510617,228,71,52,34,39,-5
2020-05-04,BROWARD,6816,1721,0.25249413145539906,270,75,53,33,45,-12
2020-05-04,MIAMI-DADE,9455,3118,0.32977260708619777,692,167,103,47,33,14
2020-05-04,PALM BEACH,4332,1613,0.37234533702677747,228,71,52,34,39,-5
2020-05-05,BROWARD,6816,1701,0.24955985915492956,254,71,50,33,44,-11
2020-05-05,MIAMI-DADE,9455,2950,0.3120042305658382,674,157,84,68,76,-8
2020-05-05,PALM BEACH,4332,1545,0.35664819944598336,230,75,47,48,33,15
2020-05-05,BROWARD,6816,1701,0.24955985915492956,259,75,50,33,44,-11
2020-05-05,MIAMI-DADE,9455,2954,0.3124272871496563,677,156,84,67,74,-7
2020-05-05,PALM BEACH,4332,1545,0.35664819944598336,230,75,47,48,33,15
2020-05-06,BROWARD,6816,1796,0.2634976525821596,249,65,52,44,31,13
2020-05-06,MIAMI-DADE,9455,2926,0.30946589106292965,660,142,80,80,68,12
2020-05-06,PALM BEACH,4332,1514,0.3494921514312096,233,67,39,45,34,11
2020-05-06,BROWARD,6816,1796,0.2634976525821596,249,65,52,50,31,19
2020-05-06,MIAMI-DADE,9455,2930,0.30988894764674774,658,142,80,84,72,12
2020-05-06,PALM BEACH,4332,1514,0.3494921514312096,233,67,39,45,33,12
2020-05-07,BROWARD,6816,1830,0.26848591549295775,246,61,44,43,21,22
2020-05-07,MIAMI-DADE,9455,2867,0.3032258064516129,661,137,75,71,65,6
2020-05-07,PALM BEACH,4332,1478,0.3411819021237304,237,69,41,45,28,17
2020-05-07,BROWARD,6816,1830,0.26848591549295775,246,61,44,43,21,22
2020-05-07,MIAMI-DADE,9455,2870,0.30354309888947645,658,136,75,71,65,6
2020-05-07,PALM BEACH,4332,1477,0.3409510618651893,236,69,40,44,27,17
2020-05-08,BROWARD,6816,1824,0.2676056338028169,247,68,42,40,20,20
2020-05-08,MIAMI-DADE,9455,3023,0.3197250132205182,643,130,78,68,64,4
2020-05-08,PALM BEACH,4332,1499,0.3460295475530933,224,65,40,36,46,-10
2020-05-09,BROWARD,6816,1914,0.28080985915492956,241,62,41,36,25,11
2020-05-09,MIAMI-DADE,9526,3056,0.32080621457064873,817,128,79,67,185,-118
2020-05-09,PALM BEACH,4332,1592,0.3674976915974146,224,66,43,31,32,-1
2020-05-09,BROWARD,6816,1890,0.2772887323943662,241,63,42,34,21,13
2020-05-09,MIAMI-DADE,9526,3049,0.32007138358177617,649,129,79,71,180,-109
2020-05-09,PALM BEACH,4332,1592,0.3674976915974146,224,66,43,31,32,-1
2020-05-10,BROWARD,6816,1873,0.2747946009389671,253,63,41,41,18,23
2020-05-10,MIAMI-DADE,9526,3017,0.31671215620407306,662,133,77,81,35,46
2020-05-10,PALM BEACH,4332,1625,0.37511542012927057,226,69,41,41,32,9
2020-05-10,BROWARD,6816,1873,0.2747946009389671,253,63,41,41,18,23
2020-05-10,MIAMI-DADE,9526,3073,0.32259080411505353,667,127,77,64,31,33
2020-05-10,PALM BEACH,4332,1625,0.37511542012927057,227,70,41,37,33,4
2020-05-11,BROWARD,6816,1839,0.269806338028169,283,59,39,50,6,44
2020-05-11,MIAMI-DADE,9526,3214,0.33739239974805796,695,121,74,58,23,35
2020-05-11,PALM BEACH,4332,1640,0.3785780240073869,218,64,38,41,28,13
2020-05-11,BROWARD,6816,1832,0.2687793427230047,283,59,39,50,6,44
2020-05-11,MIAMI-DADE,9526,3214,0.33739239974805796,695,121,74,58,23,35
2020-05-11,PALM BEACH,4332,1640,0.3785780240073869,218,64,38,41,28,13
2020-05-12,BROWARD,6816,1682,0.24677230046948356,279,61,41,30,20,10
2020-05-12,MIAMI-DADE,9526,2889,0.30327524669326056,698,123,82,74,49,25
2020-05-12,PALM BEACH,4332,1520,0.3508771929824561,222,67,50,41,29,12
2020-05-12,BROWARD,6816,1682,0.24677230046948356,279,61,41,30,20,10
2020-05-12,MIAMI-DADE,9526,2874,0.3017006088599622,634,111,73,76,50,26
2020-05-12,PALM BEACH,4332,1520,0.3508771929824561,222,68,36,41,29,12
2020-05-13,BROWARD,6816,1616,0.23708920187793428,246,50,24,41,16,25
2020-05-13,MIAMI-DADE,9526,2862,0.3004408985933235,679,112,68,50,59,-9
2020-05-13,PALM BEACH,4332,1508,0.3481071098799631,216,64,37,47,35,12
2020-05-13,BROWARD,6816,1625,0.23840962441314553,286,57,34,42,15,27
2020-05-13,MIAMI-DADE,9526,2764,0.2901532647491077,716,119,66,54,55,-1
2020-05-13,PALM BEACH,4332,1500,0.3462603878116344,219,64,38,40,29,11
2020-05-14,BROWARD,6816,1654,0.24266431924882628,300,57,36,41,26,15
2020-05-14,MIAMI-DADE,9526,2696,0.28301490657148853,694,118,62,54,74,-20
2020-05-14,PALM BEACH,4332,1453,0.33541089566020316,242,75,37,48,36,12
2020-05-14,BROWARD,6816,1654,0.24266431924882628,300,57,36,44,26,18
2020-05-14,MIAMI-DADE,9526,2685,0.2818601721604031,694,117,61,47,76,-29
2020-05-14,PALM BEACH,4332,1453,0.33541089566020316,242,75,37,48,36,12
2020-05-15,BROWARD,6816,1694,0.24853286384976525,281,45,35,25,19,6
2020-05-15,MIAMI-DADE,9526,2663,0.27955070333823223,697,110,59,67,76,-9
2020-05-15,PALM BEACH,4332,1460,0.33702677746999077,236,71,37,39,30,9
2020-05-15,BROWARD,6816,1694,0.24853286384976525,281,45,35,25,19,6
2020-05-15,MIAMI-DADE,9526,2662,0.279445727482679,697,111,59,60,64,-4
2020-05-15,PALM BEACH,4332,1422,0.32825484764542934,241,73,36,43,43,0
2020-05-16,BROWARD,6816,1779,0.26100352112676056,277,41,36,22,25,-3
2020-05-16,MIAMI-DADE,9526,2759,0.28962838547134157,714,119,61,62,81,-19
2020-05-16,PALM BEACH,4332,1395,0.3220221606648199,250,70,38,48,34,14
2020-05-16,BROWARD,6816,1723,0.252787558685446,270,43,38,23,25,-2
2020-05-16,MIAMI-DADE,9526,2760,0.2897333613268948,747,125,62,74,83,-9
2020-05-16,PALM BEACH,4332,1412,0.32594644506001846,247,71,41,50,29,21
2020-05-18,BROWARD,6816,1838,0.26965962441314556,270,46,42,22,17,5
2020-05-18,MIAMI-DADE,9526,2638,0.2769263069494016,778,128,82,23,14,9
2020-05-18,PALM BEACH,4332,1479,0.3414127423822715,251,66,33,34,25,9
2020-05-19,BROWARD,6816,1665,0.2442781690140845,277,48,40,28,17,11
2020-05-19,MIAMI-DADE,9526,2560,0.2687381902162503,742,122,50,52,44,8
2020-05-19,PALM BEACH,4332,1322,0.3051708217913204,231,66,34,44,30,14
2020-05-23,BROWARD,6816,1590,0.23327464788732394,228,48,41,23,17,6
2020-05-23,MIAMI-DADE,9526,2592,0.2720974175939534,772,114,59,70,68,2
2020-05-23,PALM BEACH,4332,1377,0.31786703601108035,235,55,35,38,43,-5
2020-05-26,BROWARD,6816,1740,0.25528169014084506,230,47,37,25,18,7
2020-05-26,MIAMI-DADE,9526,2800,0.29393239554902373,792,106,67,67,110,-43
2020-05-26,PALM BEACH,4332,1564,0.3610341643582641,246,66,36,36,25,11
2020-05-27,BROWARD,6816,1703,0.24985328638497653,228,49,37,27,22,5
2020-05-27,MIAMI-DADE,9526,2589,0.2717824900272937,768,106,61,42,46,-4
2020-05-27,PALM BEACH,4332,1391,0.3210987996306556,246,66,37,49,34,15
2020-05-28,BROWARD,6816,1681,0.2466255868544601,213,54,41,18,25,-7
2020-05-28,MIAMI-DADE,9526,2391,0.2509972706277556,740,103,56,59,98,-39
2020-05-28,PALM BEACH,4332,1295,0.29893813481071096,234,55,34,46,62,-16
2020-05-29,BROWARD,6816,1759,0.25806924882629106,208,50,45,21,20,1
2020-05-29,MIAMI-DADE,9526,2464,0.2586605080831409,729,92,55,48,74,-26
2020-05-29,PALM BEACH,4332,1222,0.2820867959372115,238,63,35,34,37,-3
2020-05-31,BROWARD,6816,1969,0.2888791079812207,187,49,34,20,16,4
2020-05-31,MIAMI-DADE,9526,2640,0.27713625866050806,716,96,53,71,49,22
2020-05-31,PALM BEACH,4332,1272,0.29362880886426596,241,68,40,28,26,2
2020-06-01,BROWARD,6816,2013,0.2953345070422535,198,51,34,12,23,-11
2020-06-01,MIAMI-DADE,9526,2526,0.2651690111274407,663,95,75,39,45,-6
2020-06-01,PALM BEACH,4332,1254,0.2894736842105263,251,69,43,34,37,-3
2020-06-02,BROWARD,6822,1894,0.2776311931984755,195,53,33,32,33,-1
2020-06-02,MIAMI-DADE,9526,2464,0.2586605080831409,714,96,54,61,59,2
2020-06-02,PALM BEACH,4288,1214,0.283115671641791,237,64,36,39,42,-3
2020-06-03,BROWARD,6816,1853,0.27186032863849763,187,50,32,30,39,-9
2020-06-03,MIAMI-DADE,9526,2339,0.24553852613898802,699,98,56,58,109,-51
2020-06-03,PALM BEACH,4288,1214,0.283115671641791,271,90,64,40,18,22
2020-06-04,BROWARD,6816,1904,0.2793427230046948,167,52,32,20,26,-6
2020-06-04,MIAMI-DADE,9526,2444,0.2565609909720764,643,98,110,60,81,-21
2020-06-04,PALM BEACH,4288,1201,0.2800839552238806,254,78,41,45,33,12
2020-06-05,BROWARD,6816,1780,0.26115023474178406,182,50,31,23,16,7
2020-06-05,MIAMI-DADE,9526,2478,0.260130170060886,717,114,56,82,86,-4
2020-06-05,PALM BEACH,4288,1208,0.28171641791044777,253,75,48,41,43,-2
2020-06-08,BROWARD,6816,1905,0.2794894366197183,185,50,29,26,12,14
2020-06-08,MIAMI-DADE,9526,2504,0.2628595423052698,723,108,60,56,22,34
2020-06-08,PALM BEACH,4288,1295,0.30200559701492535,307,87,48,53,17,36
2020-06-10,BROWARD,6816,1758,0.2579225352112676,169,46,29,26,23,3
2020-06-10,MIAMI-DADE,9526,2199,0.23084190636153684,724,93,58,60,54,6
2020-06-10,PALM BEACH,4288,1157,0.26982276119402987,293,84,55,40,41,-1
2020-06-11,BROWARD,6816,1740,0.25528169014084506,204,50,30,31,23,8
2020-06-11,MIAMI-DADE,9526,2160,0.22674784799496117,691,98,58,65,67,-2
2020-06-11,PALM BEACH,4288,1158,0.27005597014925375,275,84,52,49,42,7
2020-06-12,BROWARD,6816,1678,0.24618544600938966,215,48,31,31,25,6
2020-06-12,MIAMI-DADE,9526,2192,0.23010707537266428,686,99,59,54,70,-16
2020-06-12,PALM BEACH,4288,1113,0.2595615671641791,289,90,51,42,28,14
2020-06-12,BROWARD,6816,1679,0.24633215962441316,214,48,31,28,25,3
2020-06-12,MIAMI-DADE,9526,2291,0.24049968507243333,681,103,59,58,69,-11
2020-06-12,PALM BEACH,4288,1103,0.2572294776119403,287,88,50,42,25,17
2020-06-15,BROWARD,6816,1855,0.2721537558685446,222,53,27,30,16,14
2020-06-15,MIAMI-DADE,9526,2383,0.2501574637833298,738,126,66,95,45,50
2020-06-15,PALM BEACH,4288,1273,0.296875,291,74,54,47,25,22
2020-06-16,BROWARD,6816,1706,0.25029342723004694,235,61,29,39,29,10
2020-06-16,MIAMI-DADE,9526,2250,0.23619567499475122,754,135,64,99,76,23
2020-06-16,PALM BEACH,4288,1200,0.2798507462686567,303,78,44,68,45,23
2020-06-17,BROWARD,6816,1692,0.2482394366197183,243,54,27,40,36,4
2020-06-17,MIAMI-DADE,9526,2161,0.2268528238505144,761,131,67,101,87,14
2020-06-17,PALM BEACH,4288,1123,0.2618936567164179,329,95,50,49,53,-4
2020-06-18,BROWARD,6816,1460,0.2142018779342723,257,56,26,44,32,12
2020-06-18,MIAMI-DADE,9526,2036,0.21373084190636155,761,138,64,101,249,-148
2020-06-18,PALM BEACH,4288,1125,0.26236007462686567,348,99,49,58,38,20
2020-06-19,BROWARD,6816,1347,0.19762323943661972,289,68,26,53,35,18
2020-06-19,MIAMI-DADE,9526,2096,0.2200293932395549,758,131,71,115,150,-35
2020-06-19,PALM BEACH,4288,1111,0.25909514925373134,369,90,49,58,36,22
2020-06-20,BROWARD,6816,1475,0.2164025821596244,297,71,30,51,24,27
2020-06-20,MIAMI-DADE,9526,2087,0.2190846105395759,794,131,74,103,92,11
2020-06-20,PALM BEACH,4288,1173,0.2735541044776119,376,92,48,68,34,34
2020-06-22,MIAMI-DADE,9526,2066,0.21688011757295822,900,165,77,110,42,68
2020-06-22,PALM BEACH,4288,1259,0.29361007462686567,371,77,46,51,35,16
2020-06-23,BROWARD,6816,1556,0.2282863849765258,302,47,25,49,33,16
2020-06-23,MIAMI-DADE,9526,1991,0.2090069284064665,932,163,78,154,94,60
2020-06-23,PALM BEACH,4288,1144,0.2667910447761194,402,82,51,68,43,25
2020-06-24,BROWARD,6816,1445,0.2120011737089202,391,68,34,66,59,7
2020-06-24,MIAMI-DADE,9526,1852,0.19441528448456855,981,185,83,164,121,43
2020-06-24,PALM BEACH,4288,1139,0.265625,394,84,69,57,59,-2
2020-06-25,BROWARD,6816,1301,0.1908744131455399,429,74,26,79,33,46
2020-06-25,MIAMI-DADE,9526,1830,0.19210581566239765,955,182,87,160,140,20
2020-06-25,PALM BEACH,4288,1127,0.26282649253731344,384,76,46,70,50,20
2020-06-26,BROWARD,6816,1238,0.18163145539906103,451,92,43,73,45,28
2020-06-26,MIAMI-DADE,9526,2054,0.21562040730631954,1006,195,88,187,142,45
2020-06-26,PALM BEACH,4288,1046,0.2439365671641791,403,80,46,74,38,36
2020-06-27,BROWARD,6816,1289,0.18911384976525822,472,97,38,82,51,31
2020-06-27,MIAMI-DADE,9526,2118,0.2223388620617258,1004,206,91,160,136,24
2020-06-27,PALM BEACH,4288,1124,0.2621268656716418,420,77,45,94,57,37
2020-06-27,BROWARD,6816,1289,0.18911384976525822,472,97,38,82,51,31
2020-06-27,MIAMI-DADE,9526,2127,0.2232836447617048,1004,206,90,162,130,32
2020-06-27,PALM BEACH,4288,1124,0.2621268656716418,420,77,45,94,57,37
2020-06-28,MIAMI-DADE,9526,2166,0.22737770312828048,1100,223,90,182,109,73
2020-06-28,BROWARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-28,PALM BEACH,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-29,MIAMI-DADE,9526,1987,0.20858702498425363,1152,234,92,160,110,50
2020-06-29,BROWARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-29,PALM BEACH,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-30,BROWARD,6816,1167,0.17121478873239437,602,113,49,105,65,40
2020-06-30,MIAMI-DADE,9526,1863,0.195570018895654,1219,282,105,174,120,54
2020-06-30,PALM BEACH,4288,1072,0.25,493,118,56,95,57,38
2020-07-01,MIAMI-DADE,9526,1819,0.1909510812513122,1295,265,119,211,209,2
2020-07-01,BROWARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,PALM BEACH,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-02,MIAMI-DADE,9526,1735,0.18213310938484148,1381,283,140,251,170,81
2020-07-02,BROWARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-02,PALM BEACH,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-03,MIAMI-DADE,9526,1979,0.20774721813982783,1394,295,148,218,199,19
2020-07-03,BROWARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-03,PALM BEACH,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-05,BROWARD,6816,1256,0.18427230046948356,799,143,65,116,99,17
2020-07-05,MIAMI-DADE,9526,2002,0.21016166281755197,1539,332,166,204,138,66
